Device Name: NVIDIA GeForce RTX 3050 Ti Laptop GPU
Max Threads per Block: 1024
Max Threads per Multiprocessor: 1536
Max Blocks per Multiprocessor: 16
Number of SMs: 20


Executing device_main_tiled()
GA:92.000000, SA:92.000000, GB:316.000000, SB:316.000000
GA:92.000000, SA:92.000000, GB:317.000000, SB:317.000000
GA:92.000000, SA:92.000000, GB:318.000000, SB:318.000000
GA:92.000000, SA:92.000000, GB:319.000000, SB:319.000000
GA:92.000000, SA:92.000000, GB:320.000000, SB:320.000000
GA:92.000000, SA:92.000000, GB:321.000000, SB:321.000000
GA:92.000000, SA:92.000000, GB:322.000000, SB:322.000000
GA:92.000000, SA:92.000000, GB:323.000000, SB:323.000000
GA:92.000000, SA:92.000000, GB:324.000000, SB:324.000000
GA:92.000000, SA:92.000000, GB:325.000000, SB:325.000000
GA:92.000000, SA:92.000000, GB:326.000000, SB:326.000000
GA:92.000000, SA:92.000000, GB:327.000000, SB:327.000000
GA:124.000000, SA:124.000000, GB:312.000000, SB:312.000000
GA:124.000000, SA:124.000000, GB:313.000000, SB:313.000000
GA:124.000000, SA:124.000000, GB:314.000000, SB:314.000000
GA:124.000000, SA:124.000000, GB:315.000000, SB:315.000000
GA:124.000000, SA:124.000000, GB:316.000000, SB:316.000000
GA:124.000000, SA:124.000000, GB:317.000000, SB:317.000000
GA:124.000000, SA:124.000000, GB:318.000000, SB:318.000000
GA:124.000000, SA:124.000000, GB:319.000000, SB:319.000000
GA:124.000000, SA:124.000000, GB:320.000000, SB:320.000000
GA:124.000000, SA:124.000000, GB:321.000000, SB:321.000000
GA:124.000000, SA:124.000000, GB:322.000000, SB:322.000000
GA:124.000000, SA:124.000000, GB:323.000000, SB:323.000000
GA:124.000000, SA:124.000000, GB:324.000000, SB:324.000000
GA:124.000000, SA:124.000000, GB:325.000000, SB:325.000000
GA:124.000000, SA:124.000000, GB:326.000000, SB:326.000000
GA:124.000000, SA:124.000000, GB:327.000000, SB:327.000000
GA:412.000000, SA:412.000000, GB:312.000000, SB:312.000000
GA:412.000000, SA:412.000000, GB:313.000000, SB:313.000000
GA:412.000000, SA:412.000000, GB:314.000000, SB:314.000000
GA:412.000000, SA:412.000000, GB:315.000000, SB:315.000000
GA:412.000000, SA:412.000000, GB:316.000000, SB:316.000000
GA:412.000000, SA:412.000000, GB:317.000000, SB:317.000000
GA:412.000000, SA:412.000000, GB:318.000000, SB:318.000000
GA:412.000000, SA:412.000000, GB:319.000000, SB:319.000000
GA:412.000000, SA:412.000000, GB:320.000000, SB:320.000000
GA:412.000000, SA:412.000000, GB:321.000000, SB:321.000000
GA:412.000000, SA:412.000000, GB:322.000000, SB:322.000000
GA:412.000000, SA:412.000000, GB:323.000000, SB:323.000000
GA:412.000000, SA:412.000000, GB:324.000000, SB:324.000000
GA:412.000000, SA:412.000000, GB:325.000000, SB:325.000000
GA:412.000000, SA:412.000000, GB:326.000000, SB:326.000000
GA:412.000000, SA:412.000000, GB:327.000000, SB:327.000000
GA:444.000000, SA:444.000000, GB:312.000000, SB:312.000000
GA:444.000000, SA:444.000000, GB:313.000000, SB:313.000000
GA:444.000000, SA:444.000000, GB:314.000000, SB:314.000000
GA:444.000000, SA:444.000000, GB:315.000000, SB:315.000000
GA:444.000000, SA:444.000000, GB:316.000000, SB:316.000000
GA:444.000000, SA:444.000000, GB:317.000000, SB:317.000000
GA:444.000000, SA:444.000000, GB:318.000000, SB:318.000000
GA:444.000000, SA:444.000000, GB:319.000000, SB:319.000000
GA:444.000000, SA:444.000000, GB:320.000000, SB:320.000000
GA:444.000000, SA:444.000000, GB:321.000000, SB:321.000000
GA:444.000000, SA:444.000000, GB:322.000000, SB:322.000000
GA:444.000000, SA:444.000000, GB:323.000000, SB:323.000000
GA:444.000000, SA:444.000000, GB:324.000000, SB:324.000000
GA:444.000000, SA:444.000000, GB:325.000000, SB:325.000000
GA:444.000000, SA:444.000000, GB:326.000000, SB:326.000000
GA:444.000000, SA:444.000000, GB:327.000000, SB:327.000000
GA:220.000000, SA:220.000000, GB:312.000000, SB:312.000000
GA:220.000000, SA:220.000000, GB:313.000000, SB:313.000000
GA:220.000000, SA:220.000000, GB:314.000000, SB:314.000000
GA:220.000000, SA:220.000000, GB:315.000000, SB:315.000000
GA:220.000000, SA:220.000000, GB:316.000000, SB:316.000000
GA:220.000000, SA:220.000000, GB:317.000000, SB:317.000000
GA:220.000000, SA:220.000000, GB:318.000000, SB:318.000000
GA:220.000000, SA:220.000000, GB:319.000000, SB:319.000000
GA:220.000000, SA:220.000000, GB:320.000000, SB:320.000000
GA:220.000000, SA:220.000000, GB:321.000000, SB:321.000000
GA:220.000000, SA:220.000000, GB:322.000000, SB:322.000000
GA:220.000000, SA:220.000000, GB:323.000000, SB:323.000000
GA:220.000000, SA:220.000000, GB:324.000000, SB:324.000000
GA:220.000000, SA:220.000000, GB:325.000000, SB:325.000000
GA:220.000000, SA:220.000000, GB:326.000000, SB:326.000000
GA:220.000000, SA:220.000000, GB:327.000000, SB:327.000000
GA:252.000000, SA:252.000000, GB:312.000000, SB:312.000000
GA:252.000000, SA:252.000000, GB:313.000000, SB:313.000000
GA:252.000000, SA:252.000000, GB:314.000000, SB:314.000000
GA:252.000000, SA:252.000000, GB:315.000000, SB:315.000000
GA:252.000000, SA:252.000000, GB:316.000000, SB:316.000000
GA:252.000000, SA:252.000000, GB:317.000000, SB:317.000000
GA:252.000000, SA:252.000000, GB:318.000000, SB:318.000000
GA:252.000000, SA:252.000000, GB:319.000000, SB:319.000000
GA:252.000000, SA:252.000000, GB:320.000000, SB:320.000000
GA:252.000000, SA:252.000000, GB:321.000000, SB:321.000000
GA:252.000000, SA:252.000000, GB:322.000000, SB:322.000000
GA:252.000000, SA:252.000000, GB:323.000000, SB:323.000000
GA:252.000000, SA:252.000000, GB:324.000000, SB:324.000000
GA:252.000000, SA:252.000000, GB:325.000000, SB:325.000000
GA:252.000000, SA:252.000000, GB:326.000000, SB:326.000000
GA:252.000000, SA:252.000000, GB:327.000000, SB:327.000000
GA:28.000000, SA:28.000000, GB:296.000000, SB:296.000000
GA:28.000000, SA:28.000000, GB:297.000000, SB:297.000000
GA:28.000000, SA:28.000000, GB:298.000000, SB:298.000000
GA:28.000000, SA:28.000000, GB:299.000000, SB:299.000000
GA:28.000000, SA:28.000000, GB:300.000000, SB:300.000000
GA:28.000000, SA:28.000000, GB:301.000000, SB:301.000000
GA:28.000000, SA:28.000000, GB:302.000000, SB:302.000000
GA:28.000000, SA:28.000000, GB:303.000000, SB:303.000000
GA:28.000000, SA:28.000000, GB:304.000000, SB:304.000000
GA:28.000000, SA:28.000000, GB:305.000000, SB:305.000000
GA:28.000000, SA:28.000000, GB:306.000000, SB:306.000000
GA:28.000000, SA:28.000000, GB:307.000000, SB:307.000000
GA:28.000000, SA:28.000000, GB:308.000000, SB:308.000000
GA:28.000000, SA:28.000000, GB:309.000000, SB:309.000000
GA:28.000000, SA:28.000000, GB:310.000000, SB:310.000000
GA:28.000000, SA:28.000000, GB:311.000000, SB:311.000000
GA:60.000000, SA:60.000000, GB:296.000000, SB:296.000000
GA:60.000000, SA:60.000000, GB:297.000000, SB:297.000000
GA:60.000000, SA:60.000000, GB:298.000000, SB:298.000000
GA:60.000000, SA:60.000000, GB:299.000000, SB:299.000000
GA:60.000000, SA:60.000000, GB:300.000000, SB:300.000000
GA:60.000000, SA:60.000000, GB:301.000000, SB:301.000000
GA:60.000000, SA:60.000000, GB:302.000000, SB:302.000000
GA:60.000000, SA:60.000000, GB:303.000000, SB:303.000000
GA:60.000000, SA:60.000000, GB:304.000000, SB:304.000000
GA:60.000000, SA:60.000000, GB:305.000000, SB:305.000000
GA:60.000000, SA:60.000000, GB:306.000000, SB:306.000000
GA:60.000000, SA:60.000000, GB:307.000000, SB:307.000000
GA:60.000000, SA:60.000000, GB:308.000000, SB:308.000000
GA:60.000000, SA:60.000000, GB:309.000000, SB:309.000000
GA:60.000000, SA:60.000000, GB:310.000000, SB:310.000000
GA:60.000000, SA:60.000000, GB:311.000000, SB:311.000000
GA:196.000000, SA:196.000000, GB:312.000000, SB:312.000000
GA:196.000000, SA:196.000000, GB:313.000000, SB:313.000000
GA:196.000000, SA:196.000000, GB:314.000000, SB:314.000000
GA:196.000000, SA:196.000000, GB:315.000000, SB:315.000000
GA:196.000000, SA:196.000000, GB:316.000000, SB:316.000000
GA:196.000000, SA:196.000000, GB:317.000000, SB:317.000000
GA:196.000000, SA:196.000000, GB:318.000000, SB:318.000000
GA:196.000000, SA:196.000000, GB:319.000000, SB:319.000000
GA:196.000000, SA:196.000000, GB:320.000000, SB:320.000000
GA:196.000000, SA:196.000000, GB:321.000000, SB:321.000000
GA:196.000000, SA:196.000000, GB:322.000000, SB:322.000000
GA:196.000000, SA:196.000000, GB:323.000000, SB:323.000000
GA:196.000000, SA:196.000000, GB:324.000000, SB:324.000000
GA:196.000000, SA:196.000000, GB:325.000000, SB:325.000000
GA:196.000000, SA:196.000000, GB:326.000000, SB:326.000000
GA:196.000000, SA:196.000000, GB:327.000000, SB:327.000000
GA:228.000000, SA:228.000000, GB:312.000000, SB:312.000000
GA:228.000000, SA:228.000000, GB:313.000000, SB:313.000000
GA:228.000000, SA:228.000000, GB:314.000000, SB:314.000000
GA:228.000000, SA:228.000000, GB:315.000000, SB:315.000000
GA:228.000000, SA:228.000000, GB:316.000000, SB:316.000000
GA:228.000000, SA:228.000000, GB:317.000000, SB:317.000000
GA:228.000000, SA:228.000000, GB:318.000000, SB:318.000000
GA:228.000000, SA:228.000000, GB:319.000000, SB:319.000000
GA:228.000000, SA:228.000000, GB:320.000000, SB:320.000000
GA:228.000000, SA:228.000000, GB:321.000000, SB:321.000000
GA:228.000000, SA:228.000000, GB:322.000000, SB:322.000000
GA:228.000000, SA:228.000000, GB:323.000000, SB:323.000000
GA:228.000000, SA:228.000000, GB:324.000000, SB:324.000000
GA:228.000000, SA:228.000000, GB:325.000000, SB:325.000000
GA:228.000000, SA:228.000000, GB:326.000000, SB:326.000000
GA:228.000000, SA:228.000000, GB:327.000000, SB:327.000000
GA:92.000000, SA:92.000000, GB:296.000000, SB:296.000000
GA:92.000000, SA:92.000000, GB:297.000000, SB:297.000000
GA:92.000000, SA:92.000000, GB:298.000000, SB:298.000000
GA:92.000000, SA:92.000000, GB:299.000000, SB:299.000000
GA:92.000000, SA:92.000000, GB:300.000000, SB:300.000000
GA:92.000000, SA:92.000000, GB:301.000000, SB:301.000000
GA:92.000000, SA:92.000000, GB:302.000000, SB:302.000000
GA:92.000000, SA:92.000000, GB:303.000000, SB:303.000000
GA:92.000000, SA:92.000000, GB:304.000000, SB:304.000000
GA:92.000000, SA:92.000000, GB:305.000000, SB:305.000000
GA:92.000000, SA:92.000000, GB:306.000000, SB:306.000000
GA:92.000000, SA:92.000000, GB:307.000000, SB:307.000000
GA:92.000000, SA:92.000000, GB:308.000000, SB:308.000000
GA:92.000000, SA:92.000000, GB:309.000000, SB:309.000000
GA:92.000000, SA:92.000000, GB:310.000000, SB:310.000000
GA:92.000000, SA:92.000000, GB:311.000000, SB:311.000000
GA:124.000000, SA:124.000000, GB:296.000000, SB:296.000000
GA:124.000000, SA:124.000000, GB:297.000000, SB:297.000000
GA:124.000000, SA:124.000000, GB:298.000000, SB:298.000000
GA:124.000000, SA:124.000000, GB:299.000000, SB:299.000000
GA:124.000000, SA:124.000000, GB:300.000000, SB:300.000000
GA:124.000000, SA:124.000000, GB:301.000000, SB:301.000000
GA:124.000000, SA:124.000000, GB:302.000000, SB:302.000000
GA:124.000000, SA:124.000000, GB:303.000000, SB:303.000000
GA:124.000000, SA:124.000000, GB:304.000000, SB:304.000000
GA:124.000000, SA:124.000000, GB:305.000000, SB:305.000000
GA:124.000000, SA:124.000000, GB:306.000000, SB:306.000000
GA:124.000000, SA:124.000000, GB:307.000000, SB:307.000000
GA:124.000000, SA:124.000000, GB:308.000000, SB:308.000000
GA:124.000000, SA:124.000000, GB:309.000000, SB:309.000000
GA:124.000000, SA:124.000000, GB:310.000000, SB:310.000000
GA:124.000000, SA:124.000000, GB:311.000000, SB:311.000000
GA:68.000000, SA:68.000000, GB:312.000000, SB:312.000000
GA:68.000000, SA:68.000000, GB:313.000000, SB:313.000000
GA:68.000000, SA:68.000000, GB:314.000000, SB:314.000000
GA:68.000000, SA:68.000000, GB:315.000000, SB:315.000000
GA:68.000000, SA:68.000000, GB:316.000000, SB:316.000000
GA:68.000000, SA:68.000000, GB:317.000000, SB:317.000000
GA:68.000000, SA:68.000000, GB:318.000000, SB:318.000000
GA:68.000000, SA:68.000000, GB:319.000000, SB:319.000000
GA:68.000000, SA:68.000000, GB:320.000000, SB:320.000000
GA:68.000000, SA:68.000000, GB:321.000000, SB:321.000000
GA:68.000000, SA:68.000000, GB:322.000000, SB:322.000000
GA:68.000000, SA:68.000000, GB:323.000000, SB:323.000000
GA:68.000000, SA:68.000000, GB:324.000000, SB:324.000000
GA:68.000000, SA:68.000000, GB:325.000000, SB:325.000000
GA:68.000000, SA:68.000000, GB:326.000000, SB:326.000000
GA:68.000000, SA:68.000000, GB:327.000000, SB:327.000000
GA:100.000000, SA:100.000000, GB:312.000000, SB:312.000000
GA:100.000000, SA:100.000000, GB:313.000000, SB:313.000000
GA:100.000000, SA:100.000000, GB:314.000000, SB:314.000000
GA:100.000000, SA:100.000000, GB:315.000000, SB:315.000000
GA:100.000000, SA:100.000000, GB:316.000000, SB:316.000000
GA:100.000000, SA:100.000000, GB:317.000000, SB:317.000000
GA:100.000000, SA:100.000000, GB:318.000000, SB:318.000000
GA:100.000000, SA:100.000000, GB:319.000000, SB:319.000000
GA:100.000000, SA:100.000000, GB:320.000000, SB:320.000000
GA:100.000000, SA:100.000000, GB:321.000000, SB:321.000000
GA:100.000000, SA:100.000000, GB:322.000000, SB:322.000000
GA:100.000000, SA:100.000000, GB:323.000000, SB:323.000000
GA:100.000000, SA:100.000000, GB:324.000000, SB:324.000000
GA:100.000000, SA:100.000000, GB:325.000000, SB:325.000000
GA:100.000000, SA:100.000000, GB:326.000000, SB:326.000000
GA:100.000000, SA:100.000000, GB:327.000000, SB:327.000000
GA:388.000000, SA:388.000000, GB:312.000000, SB:312.000000
GA:388.000000, SA:388.000000, GB:313.000000, SB:313.000000
GA:388.000000, SA:388.000000, GB:314.000000, SB:314.000000
GA:388.000000, SA:388.000000, GB:315.000000, SB:315.000000
GA:388.000000, SA:388.000000, GB:316.000000, SB:316.000000
GA:388.000000, SA:388.000000, GB:317.000000, SB:317.000000
GA:388.000000, SA:388.000000, GB:318.000000, SB:318.000000
GA:388.000000, SA:388.000000, GB:319.000000, SB:319.000000
GA:388.000000, SA:388.000000, GB:320.000000, SB:320.000000
GA:388.000000, SA:388.000000, GB:321.000000, SB:321.000000
GA:388.000000, SA:388.000000, GB:322.000000, SB:322.000000
GA:388.000000, SA:388.000000, GB:323.000000, SB:323.000000
GA:388.000000, SA:388.000000, GB:324.000000, SB:324.000000
GA:388.000000, SA:388.000000, GB:325.000000, SB:325.000000
GA:388.000000, SA:388.000000, GB:326.000000, SB:326.000000
GA:388.000000, SA:388.000000, GB:327.000000, SB:327.000000
GA:420.000000, SA:420.000000, GB:312.000000, SB:312.000000
GA:420.000000, SA:420.000000, GB:313.000000, SB:313.000000
GA:420.000000, SA:420.000000, GB:314.000000, SB:314.000000
GA:420.000000, SA:420.000000, GB:315.000000, SB:315.000000
GA:420.000000, SA:420.000000, GB:316.000000, SB:316.000000
GA:420.000000, SA:420.000000, GB:317.000000, SB:317.000000
GA:420.000000, SA:420.000000, GB:318.000000, SB:318.000000
GA:420.000000, SA:420.000000, GB:319.000000, SB:319.000000
GA:420.000000, SA:420.000000, GB:320.000000, SB:320.000000
GA:420.000000, SA:420.000000, GB:321.000000, SB:321.000000
GA:420.000000, SA:420.000000, GB:322.000000, SB:322.000000
GA:420.000000, SA:420.000000, GB:323.000000, SB:323.000000
GA:420.000000, SA:420.000000, GB:324.000000, SB:324.000000
GA:420.000000, SA:420.000000, GB:325.000000, SB:325.000000
GA:420.000000, SA:420.000000, GB:326.000000, SB:326.000000
GA:420.000000, SA:420.000000, GB:327.000000, SB:327.000000
GA:540.000000, SA:540.000000, GB:312.000000, SB:312.000000
GA:540.000000, SA:540.000000, GB:313.000000, SB:313.000000
GA:540.000000, SA:540.000000, GB:314.000000, SB:314.000000
GA:540.000000, SA:540.000000, GB:315.000000, SB:315.000000
GA:540.000000, SA:540.000000, GB:316.000000, SB:316.000000
GA:540.000000, SA:540.000000, GB:317.000000, SB:317.000000
GA:540.000000, SA:540.000000, GB:318.000000, SB:318.000000
GA:540.000000, SA:540.000000, GB:319.000000, SB:319.000000
GA:540.000000, SA:540.000000, GB:320.000000, SB:320.000000
GA:540.000000, SA:540.000000, GB:321.000000, SB:321.000000
GA:540.000000, SA:540.000000, GB:322.000000, SB:322.000000
GA:540.000000, SA:540.000000, GB:323.000000, SB:323.000000
GA:540.000000, SA:540.000000, GB:324.000000, SB:324.000000
GA:540.000000, SA:540.000000, GB:325.000000, SB:325.000000
GA:540.000000, SA:540.000000, GB:326.000000, SB:326.000000
GA:540.000000, SA:540.000000, GB:327.000000, SB:327.000000
GA:572.000000, SA:572.000000, GB:312.000000, SB:312.000000
GA:572.000000, SA:572.000000, GB:313.000000, SB:313.000000
GA:572.000000, SA:572.000000, GB:314.000000, SB:314.000000
GA:572.000000, SA:572.000000, GB:315.000000, SB:315.000000
GA:572.000000, SA:572.000000, GB:316.000000, SB:316.000000
GA:572.000000, SA:572.000000, GB:317.000000, SB:317.000000
GA:572.000000, SA:572.000000, GB:318.000000, SB:318.000000
GA:572.000000, SA:572.000000, GB:319.000000, SB:319.000000
GA:572.000000, SA:572.000000, GB:320.000000, SB:320.000000
GA:572.000000, SA:572.000000, GB:321.000000, SB:321.000000
GA:572.000000, SA:572.000000, GB:322.000000, SB:322.000000
GA:572.000000, SA:572.000000, GB:323.000000, SB:323.000000
GA:572.000000, SA:572.000000, GB:324.000000, SB:324.000000
GA:572.000000, SA:572.000000, GB:325.000000, SB:325.000000
GA:572.000000, SA:572.000000, GB:326.000000, SB:326.000000
GA:572.000000, SA:572.000000, GB:327.000000, SB:327.000000
GA:4.000000, SA:4.000000, GB:312.000000, SB:312.000000
GA:4.000000, SA:4.000000, GB:313.000000, SB:313.000000
GA:4.000000, SA:4.000000, GB:314.000000, SB:314.000000
GA:4.000000, SA:4.000000, GB:315.000000, SB:315.000000
GA:4.000000, SA:4.000000, GB:316.000000, SB:316.000000
GA:4.000000, SA:4.000000, GB:317.000000, SB:317.000000
GA:4.000000, SA:4.000000, GB:318.000000, SB:318.000000
GA:4.000000, SA:4.000000, GB:319.000000, SB:319.000000
GA:4.000000, SA:4.000000, GB:320.000000, SB:320.000000
GA:4.000000, SA:4.000000, GB:321.000000, SB:321.000000
GA:4.000000, SA:4.000000, GB:322.000000, SB:322.000000
GA:4.000000, SA:4.000000, GB:323.000000, SB:323.000000
GA:4.000000, SA:4.000000, GB:324.000000, SB:324.000000
GA:4.000000, SA:4.000000, GB:325.000000, SB:325.000000
GA:4.000000, SA:4.000000, GB:326.000000, SB:326.000000
GA:4.000000, SA:4.000000, GB:327.000000, SB:327.000000
GA:36.000000, SA:36.000000, GB:312.000000, SB:312.000000
GA:36.000000, SA:36.000000, GB:313.000000, SB:313.000000
GA:36.000000, SA:36.000000, GB:314.000000, SB:314.000000
GA:36.000000, SA:36.000000, GB:315.000000, SB:315.000000
GA:36.000000, SA:36.000000, GB:316.000000, SB:316.000000
GA:36.000000, SA:36.000000, GB:317.000000, SB:317.000000
GA:36.000000, SA:36.000000, GB:318.000000, SB:318.000000
GA:36.000000, SA:36.000000, GB:319.000000, SB:319.000000
GA:36.000000, SA:36.000000, GB:320.000000, SB:320.000000
GA:36.000000, SA:36.000000, GB:321.000000, SB:321.000000
GA:36.000000, SA:36.000000, GB:322.000000, SB:322.000000
GA:36.000000, SA:36.000000, GB:323.000000, SB:323.000000
GA:36.000000, SA:36.000000, GB:324.000000, SB:324.000000
GA:36.000000, SA:36.000000, GB:325.000000, SB:325.000000
GA:36.000000, SA:36.000000, GB:326.000000, SB:326.000000
GA:36.000000, SA:36.000000, GB:327.000000, SB:327.000000
GA:260.000000, SA:260.000000, GB:312.000000, SB:312.000000
GA:260.000000, SA:260.000000, GB:313.000000, SB:313.000000
GA:260.000000, SA:260.000000, GB:314.000000, SB:314.000000
GA:260.000000, SA:260.000000, GB:315.000000, SB:315.000000
GA:260.000000, SA:260.000000, GB:316.000000, SB:316.000000
GA:260.000000, SA:260.000000, GB:317.000000, SB:317.000000
GA:260.000000, SA:260.000000, GB:318.000000, SB:318.000000
GA:260.000000, SA:260.000000, GB:319.000000, SB:319.000000
GA:260.000000, SA:260.000000, GB:320.000000, SB:320.000000
GA:260.000000, SA:260.000000, GB:321.000000, SB:321.000000
GA:260.000000, SA:260.000000, GB:322.000000, SB:322.000000
GA:260.000000, SA:260.000000, GB:323.000000, SB:323.000000
GA:260.000000, SA:260.000000, GB:324.000000, SB:324.000000
GA:260.000000, SA:260.000000, GB:325.000000, SB:325.000000
GA:260.000000, SA:260.000000, GB:326.000000, SB:326.000000
GA:260.000000, SA:260.000000, GB:327.000000, SB:327.000000
GA:292.000000, SA:292.000000, GB:312.000000, SB:312.000000
GA:292.000000, SA:292.000000, GB:313.000000, SB:313.000000
GA:292.000000, SA:292.000000, GB:314.000000, SB:314.000000
GA:292.000000, SA:292.000000, GB:315.000000, SB:315.000000
GA:292.000000, SA:292.000000, GB:316.000000, SB:316.000000
GA:292.000000, SA:292.000000, GB:317.000000, SB:317.000000
GA:292.000000, SA:292.000000, GB:318.000000, SB:318.000000
GA:292.000000, SA:292.000000, GB:319.000000, SB:319.000000
GA:292.000000, SA:292.000000, GB:320.000000, SB:320.000000
GA:292.000000, SA:292.000000, GB:321.000000, SB:321.000000
GA:292.000000, SA:292.000000, GB:322.000000, SB:322.000000
GA:292.000000, SA:292.000000, GB:323.000000, SB:323.000000
GA:292.000000, SA:292.000000, GB:324.000000, SB:324.000000
GA:292.000000, SA:292.000000, GB:325.000000, SB:325.000000
GA:292.000000, SA:292.000000, GB:326.000000, SB:326.000000
GA:292.000000, SA:292.000000, GB:327.000000, SB:327.000000
GA:324.000000, SA:324.000000, GB:312.000000, SB:312.000000
GA:324.000000, SA:324.000000, GB:313.000000, SB:313.000000
GA:324.000000, SA:324.000000, GB:314.000000, SB:314.000000
